,caption,comments,filters,hashtags,image,index,likes,time,user
0,"
                    Foto lama lagi... #landscape #nature #indonesia #view #latepost
                ",4,Filter Normal, #nature #indonesia #landscape #latepost #view,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17333170_405381709817629_2840935688789032960_n.jpg,1.0,55,1 day ago,@aldinons
1,"
                    ""Chegará o dia em que os homens conhecerão o íntimo dos animais e, neste dia, um crime contra um animal será considerado um crime contra a humanidade"". Leonardo da Vinci  14 de março dia nacional dos animais #nature #bio #animais #educacaoambiental #14março #biologia
                ",0,Filter Ludwig, #nature #animais #educacaoambiental #bio #biologia #14março,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17333381_262150537545816_3963703834328432640_n.jpg,2.0,21,1 day ago,@daniela_bertol
2,"
                    🌸 #flowers #nature #instaphoto #newzealand
                ",1,Filter Lo-fi, #nature #flowers #instaphoto #newzealand,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17127307_1646132042092208_3470204876472975360_n.jpg,3.0,23,1 day ago,@camilatf
3,"
                    Spring release #koifish #springwater paintings my favorite life to paint ❤️🎨💦 #simplicity #positivity #serene #nature #renewal it's so hard choosing pieces to submit that showcase my style of painting. Though I think this is one of them.😇 processing 🎨🙌🏻🖤
                ",0,Filter Clarendon, #nature #springwater #positivity #koifish #simplicity #serene #renewal,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17265780_351549088572906_7825410660757405696_n.jpg,4.0,9,1 day ago,@hachinoai
4,"
                    #nature #instanature #landscape #landscapephotography #landscapelovers #mountainroad #mountainview #cloudporn #clouds #sky #skylovers #skyporn #ontheroad #instagram #instagramers #instadaily #instagood #igers #igersportugal #igersworldwide #portugaldenorteasul #portugaloteuolhar #shooters_pt #unlimitedportugal #nofilter
                ",0,Filter Normal, #instanature #igersworldwide #landscapelovers #igersportugal #instadaily #instagram #skylovers #ontheroad #unlimitedportugal #instagood #igers #sky #landscapephotography #nature #instagramers #mountainview #cloudporn #portugaloteuolhar #shooters_pt #portugaldenorteasul #nofilter #clouds #skyporn #landscape #mountainroad,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17265636_397028467345765_7930818108913090560_n.jpg,5.0,53,1 day ago,@fgliz
5,"
                    ""Maybe you have to know the darkness before you can appreciate the light."" — Madeleine L'Engle

#nature #beautiful
                ",0,Filter Amaro, #nature #beautiful,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17127081_396799360689967_5140862238818566144_n.jpg,6.0,39,1 day ago,@patchesaceneo
6,"
                    Então pelo jeito vai ter greve nessa quarta-feira, e eu não estou feliz com isso, mas tudo bem kk
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#tvminuto #splovers #olharesdesampa #saopaulowalk #saopaulocity #sãopaulo_originals #ig_saopaulo #spdagaroa #meucliqueestadao #folhadespaulo #vejasp #vcnouol #cidadedagaroa #like4like #streetphotography #art #streetart #building #rfr #nature #architectureporn #urban #archilovers #r4r #architecture #urbanphotography #lb #recent4recent #urbex #boanoite
                ",5,Filter Normal, #urbanphotography #splovers #streetphotography #architectureporn #sãopaulo_originals #lb #rfr #building #cidadedagaroa #urbex #recent4recent #art #r4r #nature #vejasp #boanoite #meucliqueestadao #tvminuto #ig_saopaulo #saopaulocity #urban #olharesdesampa #spdagaroa #folhadespaulo #architecture #saopaulowalk #like4like #archilovers #streetart #vcnouol,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17332498_1472197842865324_9206642559416270848_n.jpg,7.0,183,1 day ago,@extra.hud
7,"
                    Salutations 🌿🍃 • #nature #greenery #palmtree #decor #interior #interiordesign #homedecor #home #scandinavian #green #minimalist #fresh
                ",0,Filter Normal, #nature #fresh #greenery #home #interior #minimalist #scandinavian #homedecor #green #palmtree #decor #interiordesign,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17266201_791304097686615_4999036869606899712_n.jpg,8.0,7,1 day ago,@minimalista_a
8,"
                    rode my girl today for the first time in 3 months!!!! only walked and trotted, but it was nice to be able to ride her again. -

#horsesofinstagram #poniesofinstagram #horse #horses #pony #ponies #horsebackriding #photoshoot #nature #petsofinstagram #riding #horsebackrider #walk #trot #canter #gallop #jump #equestrian #equine #pets #saddlepad #saddle #horsetack #loveher #freejump #polowraps #fail #freelunge #funny #doversaddlery
                ",2,Filter Normal, #poniesofinstagram #fail #saddlepad #horsetack #horsebackriding #riding #pony #gallop #nature #funny #walk #photoshoot #saddle #freelunge #ponies #horsebackrider #horses #trot #equestrian #petsofinstagram #horsesofinstagram #loveher #horse #canter #pets #equine #doversaddlery #jump #freejump #polowraps,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17126126_646016422267662_9057763354960986112_n.jpg,9.0,42,1 day ago,@sparklesaf
9,"
                    Indo pro final do começo... 💒💑 .

#ilovephoto #weddingday #sunset #couple #nature #pordosol #instawedding #landscape #fimdetarde #prewedding #atardecer #finaldetarde #casal #natura #natur #rosadesaron #minasgerais #natureza #paisagem #mg #paysage#manzara
                ",1,Filter Ludwig, #natur #finaldetarde #minasgerais #weddingday #paysage #prewedding #ilovephoto #manzara #mg #rosadesaron #casal #natureza #instawedding #sunset #couple #nature #natura #atardecer #fimdetarde #landscape #pordosol #paisagem,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17265540_1449926915026762_7572866480673390592_n.jpg,10.0,41,1 day ago,@rogeriosallves
10,"
                    #일상 #followme #셀피 #nature
                ",0,Filter Normal, #nature #followme #셀피 #일상,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17266005_1940708349497589_2380774486128459776_n.jpg,11.0,1,1 day ago,@1l7dty7
11,"
                    #drone #dronestagram #drdrone #uav #sunset #travel #djiglobal #drones #ocean  #dronephotography #dronelife #dronefly #droneoftheday #nature #dronedaily #photography #beautiful #dronegear #dronesdaily #canada #novascotia #halifax @duydash
                ",22,Filter Normal, #drdrone #ocean #beautiful #dronefly #novascotia #drones #droneoftheday #djiglobal #sunset #uav #nature #dronesdaily #dronegear #halifax #photography #dronephotography #dronestagram #drone #travel #dronelife #dronedaily #canada,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17334163_733505316827206_1518340719469658112_n.jpg,12.0,489,1 day ago,@drdrone
12,"
                    🌱
#photography #shoot #naturephoto #instagram #vsco #vscocam #vscofullpack #lfl #fff #indophotography #jbgphotography #amateur #editamatir #kidphotography #photos #nature #potrait #potraitphotography #igers #streetphotography #streetactivity #streetstyle
                ",7,Filter Normal, #vsco #shoot #streetphotography #kidphotography #instagram #jbgphotography #amateur #vscofullpack #igers #nature #streetactivity #fff #vscocam #naturephoto #editamatir #potrait #photography #potraitphotography #streetstyle #photos #lfl #indophotography,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17332805_199984810486363_7042562904381456384_n.jpg,13.0,103,1 day ago,@_xtias
13,"
                    Thriving Oasis
#hiking #hikingadventures #nature #turtles #lake
                ",3,Filter Normal, #hiking #lake #hikingadventures #nature #turtles,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17077717_1883919181877519_9027632218054328320_n.jpg,14.0,14,1 day ago,@chrissyleigh123
14,"
                    Snow almost gone already #nature #hopingforspring #beauty #sunset #midwest #countrylife #photooftheday #instagood
                ",0,Filter Normal, #nature #hopingforspring #beauty #photooftheday #countrylife #midwest #instagood #sunset,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17266262_1436502873061787_5834243880798650368_n.jpg,15.0,10,1 day ago,@stevenbansleben
