image,hashtags,comments,caption,user,filter,time,likes
https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17268072_1869365486613871_8600808452761059328_n.jpg,#ontheroadagain1d #thennatureshoot #outdoors,0,# #ontheroadagain1d #outdoors #Nature #thennatureshoot,@baneisin2,Filter Normal,2 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17126258_266034040489157_230788087670636544_n.jpg,#follow4follow #followme #tweegram #like4like,0, #nature #sky #tree #clouds #colorful #wow #italy #italia #love #top #like #good #TFLers #tweegram #photooftheday #amazing #follow4follow #like4like #instalike #igers #picoftheday #instadaily #instafollow #followme #instagood #bestoftheday #instacool #instago #follow #webstagram,@mett_neri,Filter Normal,6 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17265632_664946337023546_1060856222032330752_n.jpg,#roadtrip #us #roadtripusa #nofilter #mountains,0,Le Half Dome  Yosemite ! Nostalgie des vacances quand tu nous tiens ... #roadtrip #roadtripusa #us #usa #yosemite #nationalpark #nature #halfdome #mountains #hiking #nofilter,@josefatoux,Filter Normal,7 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17332957_1786188425032620_8799698763217108992_n.jpg,#fff #passion #sugar #instamood #followforfollow,0,#fruit #fragole #redfruits #strawberry #red #green #instafruit #instared #instamood #instamoment #instagood #passion #nature #deadnature #naturamorta #instanice #instagood #nice #solocosebelle #picoftheday #lfl #fff #follow #followforfollow #likeforlike #sugar #sweet #zuccherodicanna,@faby_di,Filter Normal,1 minute ago,3
https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17127045_384648825238790_5058538573431570432_n.jpg,#believer #philippines #godmade #nature,1,"Increase your altitude one thought at a time, one day at a time  Faith = anticipation - anxiety. Look ahead, get above and step aside. Whatever is enthroned in Heaven should be enthroned in our hearts. No fear, no doubt.",@fruitfullykristine,Filter Gingham,55 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17333667_230636360741902_5448774586072039424_n.jpg,#neverstopexploring #thegreatoutdoors #oakley,0,We must take adventure in order to know where we truly belong #neverstopexploring #thegreatoutdoors #nature #mountains #lake #adventure #hurley #oakley #beard #gopro #freedom,@ironsriki,Filter Gingham,5 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17265462_1722776174699378_8382972805339152384_n.jpg,#nature #hiking #onelove #adventure #sky #tree,0,"Went hiking two days in a row, never realized how peaceful nature is until this POINT and I can honestly say that I'm in love #nature #sky #tree #hiking #adventure #love #onelove",@satan.in.training666,Filter Normal,5 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17268262_986678451463242_6588160398166327296_n.jpg,#orchids #beautiful #nature #orchid #plants,0,Picked up this moth #orchid at trader joe. So pretty. #orchids #flowers #plants #beautiful #pretty #nature,@gaberiella_sm,Filter Lark,5 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/17333215_1457977734236234_4903172323386851328_n.jpg,#lovecats #photooftheday #photo #kittens #cats,0,It's fish time #cats #kittens #lovecats #catslovers #photo #photooftheday #adorable #nature #food #fish #Syriancats #thecatmanofaleppo #houseofcats,@syriancats,Filter Normal,4 seconds ago,0
https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/17265937_261655344279410_1496190482202492928_n.jpg,#macroexperience #jr_loveflower,0,#flower #macro #nature #macro_perfection #bns_macro #bns_flowers #tgif_macro #my_daily_flower #my_daily_macro #ig_closeups #macroexperience #hot_macros #InstaNatureFriends_ #macro_freaks #macroworld_tr #igglobalclubmacro #macro_turkey #tv_flowers #ir_flowers_macro #flowersandmacro #9Vaga9 #QuintaFlower #jr_loveflower #greatmacro #asi_es_macro #inthemoodfor_macro #electric_macro,@tarragon,Filter Clarendon,7 seconds ago,0
